country_code,indicator,year,value
NER,WHOSIS_000001,2019,60.57303502
TUR,WHOSIS_000001,2001,74.03517034
PHL,WHOSIS_000001,2009,69.39723001
TON,WHOSIS_000001,2009,70.18279546
CMR,WHOSIS_000001,2010,56.78466995
GRD,WHOSIS_000001,2001,71.53484581
MKD,WHOSIS_000001,2017,75.98451895
PER,WHOSIS_000001,2009,78.11832326
LBN,WHOSIS_000001,2016,78.81840788
SVN,WHOSIS_000001,2013,80.1367942
KIR,WHOSIS_000001,2010,61.36040242
BLR,WHOSIS_000001,2005,68.69743153
DNK,WHOSIS_000001,2009,78.87762743
BHS,WHOSIS_000001,2014,72.64786335
BWA,WHOSIS_000001,2017,64.01180659
KIR,WHOSIS_000001,2004,60.91263256
TZA,WHOSIS_000001,2009,61.03787589
KIR,WHOSIS_000001,2021,60.87345633
NER,WHOSIS_000001,2010,58.29155093
MDV,WHOSIS_000001,2015,77.25297582
KWT,WHOSIS_000001,2015,81.44722022
PAK,WHOSIS_000001,2021,65.99092295
BGD,WHOSIS_000001,2021,73.10251672
MMR,WHOSIS_000001,2014,67.0395851
CPV,WHOSIS_000001,2021,73.16097765
FSM,WHOSIS_000001,2010,64.77779493
CMR,WHOSIS_000001,2014,58.43615921
STP,WHOSIS_000001,2014,70.26367532
CAN,WHOSIS_000001,2008,80.56313756
SYC,WHOSIS_000001,2021,74.01196664
DJI,WHOSIS_000001,2012,62.75529104
SYC,WHOSIS_000001,2019,73.12375678
DJI,WHOSIS_000001,2016,64.3388502
SLV,WHOSIS_000001,2014,73.8558025
SEAR,WHOSIS_000001,2003,65.44284512
USA,WHOSIS_000001,2012,78.77111574
COM,WHOSIS_000001,2005,64.27700657
TUR,WHOSIS_000001,2007,76.70654932
KIR,WHOSIS_000001,2016,61.75804085
MNE,WHOSIS_000001,2013,76.3576393
SSD,WHOSIS_000001,2002,53.71928707
NAM,WHOSIS_000001,2021,60.35994599
SRB,WHOSIS_000001,2004,72.65350507
BWA,WHOSIS_000001,2019,64.91884565
LUX,WHOSIS_000001,2010,81.17521457
GUY,WHOSIS_000001,2021,66.0777533
ESP,WHOSIS_000001,2012,81.9595375
LAO,WHOSIS_000001,2005,61.3511366
MAR,WHOSIS_000001,2002,70.73932756
QAT,WHOSIS_000001,2013,75.79521614
SWZ,WHOSIS_000001,2016,53.13250876
BHR,WHOSIS_000001,2001,70.36971635
LBN,WHOSIS_000001,2012,78.05803939
MLT,WHOSIS_000001,2007,79.64226641
ECU,WHOSIS_000001,2005,73.75770165
TUR,WHOSIS_000001,2020,76.17525576
VUT,WHOSIS_000001,2017,66.98064455
MDV,WHOSIS_000001,2014,76.80961188
PRY,WHOSIS_000001,2019,75.07903551
ALB,WHOSIS_000001,2007,74.53678554
NER,WHOSIS_000001,2021,59.97070525
JAM,WHOSIS_000001,2020,72.64037778
