country,country_code,indicator,year,value
Kenya,KEN,SP.POP.TOTL,1983,17846374.0
Kenya,KEN,SP.POP.TOTL,1982,17206175.0
Kenya,KEN,SP.POP.TOTL,1981,16601507.0
Kenya,KEN,SP.POP.TOTL,1980,16018459.0
Kenya,KEN,SP.POP.TOTL,1979,15460666.0
Kenya,KEN,SP.POP.TOTL,1978,14934126.0
Kenya,KEN,SP.POP.TOTL,1977,14428819.0
Kenya,KEN,SP.POP.TOTL,1976,13957623.0
Kenya,KEN,SP.POP.TOTL,1975,13511671.0
Kenya,KEN,SP.POP.TOTL,1974,13070078.0
Kenya,KEN,SP.POP.TOTL,1973,12634835.0
Kenya,KEN,SP.POP.TOTL,1972,12206060.0
Kenya,KEN,SP.POP.TOTL,1971,11788904.0
Kenya,KEN,SP.POP.TOTL,1970,11368791.0
Kenya,KEN,SP.POP.TOTL,1969,10939695.0
Kenya,KEN,SP.POP.TOTL,1968,10518823.0
Kenya,KEN,SP.POP.TOTL,1967,10111057.0
Kenya,KEN,SP.POP.TOTL,1966,9717816.0
Kenya,KEN,SP.POP.TOTL,1965,9338078.0
Kenya,KEN,SP.POP.TOTL,1964,8973535.0
Kenya,KEN,SP.POP.TOTL,1963,8627971.0
Kenya,KEN,SP.POP.TOTL,1962,8299308.0
Kenya,KEN,SP.POP.TOTL,1961,7987770.0
Kenya,KEN,SP.POP.TOTL,1960,7695307.0
Nigeria,NGA,SE.PRM.ENRR,2023,89.5871124267578
Nigeria,NGA,SE.PRM.ENRR,2021,83.8092555956779
Nigeria,NGA,SE.PRM.ENRR,2020,84.371583976485
Nigeria,NGA,SE.PRM.ENRR,2018,81.6278513667331
Nigeria,NGA,SE.PRM.ENRR,2016,78.8780517578125
Nigeria,NGA,SE.PRM.ENRR,2015,25.5657563073792
Nigeria,NGA,SE.PRM.ENRR,2014,84.1216580144923
Nigeria,NGA,SE.PRM.ENRR,2013,87.8349702257826
Nigeria,NGA,SE.PRM.ENRR,2012,85.9125900268555
Nigeria,NGA,SE.PRM.ENRR,2011,84.6805572509766
Nigeria,NGA,SE.PRM.ENRR,2010,79.8300399780273
Nigeria,NGA,SE.PRM.ENRR,2009,80.3091735839844
Nigeria,NGA,SE.PRM.ENRR,2008,79.2687530517578
Nigeria,NGA,SE.PRM.ENRR,2007,88.06884765625
Nigeria,NGA,SE.PRM.ENRR,2006,96.6624374389648
Nigeria,NGA,SE.PRM.ENRR,2005,96.3063507080078
Nigeria,NGA,SE.PRM.ENRR,2004,95.7809066772461
Nigeria,NGA,SE.PRM.ENRR,2003,94.8095932006836
Nigeria,NGA,SE.PRM.ENRR,2002,93.6976165771484
Nigeria,NGA,SE.PRM.ENRR,2001,92.52490234375
Nigeria,NGA,SE.PRM.ENRR,2000,95.5101623535156
Nigeria,NGA,SE.PRM.ENRR,1999,91.5830917358398
Nigeria,NGA,SE.PRM.ENRR,1996,76.7972106933594
Nigeria,NGA,SE.PRM.ENRR,1995,87.4475326538086
Nigeria,NGA,SE.PRM.ENRR,1994,91.5379028320312
Nigeria,NGA,SE.PRM.ENRR,1993,91.2958602905273
Nigeria,NGA,SE.PRM.ENRR,1992,86.7443771362305
Nigeria,NGA,SE.PRM.ENRR,1991,82.3225021362305
Nigeria,NGA,SE.PRM.ENRR,1990,83.1028594970703
Nigeria,NGA,SE.PRM.ENRR,1989,79.7616500854492
Nigeria,NGA,SE.PRM.ENRR,1988,81.8443832397461
Nigeria,NGA,SE.PRM.ENRR,1987,85.8567276000977
Nigeria,NGA,SE.PRM.ENRR,1986,89.5783233642578
Nigeria,NGA,SE.PRM.ENRR,1985,102.758140563965
Nigeria,NGA,SE.PRM.ENRR,1984,109.090461730957
Nigeria,NGA,SE.PRM.ENRR,1983,110.334121704102
Nigeria,NGA,SE.PRM.ENRR,1982,110.623641967773
Nigeria,NGA,SE.PRM.ENRR,1981,101.564262390137
Nigeria,NGA,SE.PRM.ENRR,1980,94.1832122802734
Nigeria,NGA,SE.PRM.ENRR,1979,89.3397216796875
Nigeria,NGA,SE.PRM.ENRR,1978,76.0019989013672
Nigeria,NGA,SE.PRM.ENRR,1977,59.8788604736328
Nigeria,NGA,SE.PRM.ENRR,1976,49.0345001220703
Nigeria,NGA,SE.PRM.ENRR,1973,51.1400108337402
Nigeria,NGA,SE.PRM.ENRR,1972,49.5509986877441
Nigeria,NGA,SE.PRM.ENRR,1971,45.1762619018555
Nigeria,NGA,SE.PRM.ENRR,1970,41.9057998657227
Nigeria,NGA,SP.DYN.LE00.IN,2024,54.635
Nigeria,NGA,SP.DYN.LE00.IN,2023,54.462
Nigeria,NGA,SP.DYN.LE00.IN,2022,54.079
Nigeria,NGA,SP.DYN.LE00.IN,2021,53.455
Nigeria,NGA,SP.DYN.LE00.IN,2020,53.072
Nigeria,NGA,SP.DYN.LE00.IN,2019,53.009
Nigeria,NGA,SP.DYN.LE00.IN,2018,52.669
Nigeria,NGA,SP.DYN.LE00.IN,2017,52.397
Nigeria,NGA,SP.DYN.LE00.IN,2016,52.189
Nigeria,NGA,SP.DYN.LE00.IN,2015,51.939
Nigeria,NGA,SP.DYN.LE00.IN,2014,51.94
Nigeria,NGA,SP.DYN.LE00.IN,2013,51.827
Nigeria,NGA,SP.DYN.LE00.IN,2012,51.688
Nigeria,NGA,SP.DYN.LE00.IN,2011,51.49
Nigeria,NGA,SP.DYN.LE00.IN,2010,51.315
Nigeria,NGA,SP.DYN.LE00.IN,2009,51.08
Nigeria,NGA,SP.DYN.LE00.IN,2008,50.748
Nigeria,NGA,SP.DYN.LE00.IN,2007,50.381
Nigeria,NGA,SP.DYN.LE00.IN,2006,49.876
Nigeria,NGA,SP.DYN.LE00.IN,2005,49.538
Nigeria,NGA,SP.DYN.LE00.IN,2004,49.148
Nigeria,NGA,SP.DYN.LE00.IN,2003,48.618
Nigeria,NGA,SP.DYN.LE00.IN,2002,48.02
Nigeria,NGA,SP.DYN.LE00.IN,2001,47.549
Nigeria,NGA,SP.DYN.LE00.IN,2000,47.143
Nigeria,NGA,SP.DYN.LE00.IN,1999,46.609
Nigeria,NGA,SP.DYN.LE00.IN,1998,46.148
Nigeria,NGA,SP.DYN.LE00.IN,1997,45.96
Nigeria,NGA,SP.DYN.LE00.IN,1996,45.833
Nigeria,NGA,SP.DYN.LE00.IN,1995,45.87
Nigeria,NGA,SP.DYN.LE00.IN,1994,45.748
Nigeria,NGA,SP.DYN.LE00.IN,1993,45.783
Nigeria,NGA,SP.DYN.LE00.IN,1992,45.587
Nigeria,NGA,SP.DYN.LE00.IN,1991,45.483
Nigeria,NGA,SP.DYN.LE00.IN,1990,45.733
Nigeria,NGA,SP.DYN.LE00.IN,1989,45.83
Nigeria,NGA,SP.DYN.LE00.IN,1988,45.834
Nigeria,NGA,SP.DYN.LE00.IN,1987,45.89
Nigeria,NGA,SP.DYN.LE00.IN,1986,45.953
Nigeria,NGA,SP.DYN.LE00.IN,1985,46.193
Nigeria,NGA,SP.DYN.LE00.IN,1984,46.339
Nigeria,NGA,SP.DYN.LE00.IN,1983,46.442
Nigeria,NGA,SP.DYN.LE00.IN,1982,46.437
Nigeria,NGA,SP.DYN.LE00.IN,1981,46.309
Nigeria,NGA,SP.DYN.LE00.IN,1980,45.959
Nigeria,NGA,SP.DYN.LE00.IN,1979,45.738
Nigeria,NGA,SP.DYN.LE00.IN,1978,45.348
Nigeria,NGA,SP.DYN.LE00.IN,1977,44.847
Nigeria,NGA,SP.DYN.LE00.IN,1976,44.186
Nigeria,NGA,SP.DYN.LE00.IN,1975,43.054
Nigeria,NGA,SP.DYN.LE00.IN,1974,42.489
Nigeria,NGA,SP.DYN.LE00.IN,1973,41.831
Nigeria,NGA,SP.DYN.LE00.IN,1972,41.273
Nigeria,NGA,SP.DYN.LE00.IN,1971,40.606
Nigeria,NGA,SP.DYN.LE00.IN,1970,40.008
Nigeria,NGA,SP.DYN.LE00.IN,1969,38.946
Nigeria,NGA,SP.DYN.LE00.IN,1968,38.642
Nigeria,NGA,SP.DYN.LE00.IN,1967,37.497
Nigeria,NGA,SP.DYN.LE00.IN,1966,38.355
Nigeria,NGA,SP.DYN.LE00.IN,1965,38.221
Nigeria,NGA,SP.DYN.LE00.IN,1964,37.98
Nigeria,NGA,SP.DYN.LE00.IN,1963,37.806
